SortOrder,CruiseID,StationNum,StationNme,DBOregion,Latitude,Longitude,DataDate,DataYear,ChirkNum,gc_Polychaeta,gc_Bivalvia,gc_Crustacea,gc_Sipuncula,gc_Ophiuroidea,gc_Echinoidea,gc_Anthozoa,gc_Ascidiacea,gc_Nemertea,gc_Others,TotGC,DomTaxGCfm,ww_Polychaeta,ww_Bivalvia,ww_Crustacea,ww_Sipuncula,ww_Ophiuroidea,ww_Echinoidea,ww_Anthozoa,ww_Ascidiacea,ww_Nemertea,ww_Others,ww_TotWW,DomTaxWW,abd_Polychaeta,abd_Bivalvia,abd_Crustacea,abd_Sipuncula,abd_Ophiuroidea,abd_Echinoidea,abd_Anthozoa,abd_Ascidiacea,abd_Nemertea,abd_Others,TotAbd,DomTaxAbd
1,AK47=BERPAC-1988,100,blank,,64.383,-169.150,19880822,1988,100,3.90,1.97,15.07,0.03,0.00,0.00,0.00,0.00,0.62,0.14,21.72,Crustacea,53.27,61.84,220.40,0.70,0.00,0.00,0.00,0.00,6.62,6.49,349.32,Crustacea,1003,163,8165,20,0,0,0,0,13,75,9438,Crustacea
2,AK47=BERPAC-1988,102,blank,,64.087,-167.388,19880822,1988,102,0.14,0.22,0.07,0.00,0.00,24.02,0.06,0.00,0.00,1.83,26.34,Echinoidea,1.98,11.26,0.99,0.00,0.00,3002.01,1.01,0.00,0.00,91.40,3108.65,Echinoidea,128,93,375,0,0,318,3,0,0,270,1185,Crustacea
3,AK47=BERPAC-1988,104,blank,,63.845,-169.205,19880823,1988,104,3.67,2.60,4.15,0.00,0.00,0.00,0.63,0.00,0.93,0.07,12.06,Crustacea,51.00,105.63,60.39,0.00,0.00,0.00,10.40,0.00,9.97,1.38,238.77,Bivalvia,2748,1175,13560,0,0,0,20,0,5,33,17540,Crustacea
4,AK47=BERPAC-1988,106,blank,,64.223,-170.982,19880823,1988,106,0.86,0.04,0.17,0.00,0.00,11.46,1.40,0.00,0.00,0.02,13.94,Echinoidea,11.10,1.54,2.31,0.00,0.00,1432.17,34.90,0.00,0.02,0.89,1482.94,Echinoidea,195,783,328,0,0,160,8,0,3,63,1538,Bivalvia
5,AK47=BERPAC-1988,13,blank,,62.183,-179.872,19880803,1988,13,2.49,1.31,0.12,0.00,0.00,0.00,0.00,0.00,0.48,0.06,4.47,Polychaeta,35.38,38.80,1.60,0.00,0.02,0.00,0.00,0.00,5.20,1.35,82.35,Bivalvia,733,138,215,0,48,0,0,0,13,108,1253,Polychaeta
6,AK47=BERPAC-1988,15,blank,,62.550,-178.500,19880804,1988,15,1.07,0.11,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.40,Polychaeta,15.43,5.27,1.18,0.00,0.01,0.00,0.00,0.00,0.01,2.94,24.84,Polychaeta,508,145,505,0,3,0,0,0,0,955,2115,Others
7,AK47=BERPAC-1988,18,blank,,62.004,-175.000,19880804,1988,18,2.98,15.59,0.32,3.18,0.05,0.00,0.00,0.29,0.09,0.05,22.55,Bivalvia,43.09,684.91,4.27,70.60,3.61,0.00,0.00,20.67,1.02,1.13,829.31,Bivalvia,678,1088,45,5,3,0,0,5,3,23,1848,Bivalvia
8,AK47=BERPAC-1988,19,blank,,62.417,-174.000,19880804,1988,19,1.51,14.82,0.20,0.00,0.00,0.00,0.00,0.00,0.03,0.00,16.56,Bivalvia,19.97,722.64,2.59,0.00,0.01,0.00,0.00,0.00,0.30,0.09,745.60,Bivalvia,405,1108,40,0,5,0,0,0,0,25,1583,Bivalvia
9,AK47=BERPAC-1988,22,blank,,63.007,-177.002,19880805,1988,22,0.69,3.16,0.03,0.00,0.00,0.00,0.00,0.00,0.05,0.00,3.93,Bivalvia,10.27,154.15,0.39,0.00,0.00,0.00,0.00,0.00,0.56,0.00,165.37,Bivalvia,248,128,45,0,0,0,0,0,0,0,420,Polychaeta
10,AK47=BERPAC-1988,24,blank,,63.680,-178.474,19880805,1988,24,2.27,28.22,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,30.55,Bivalvia,33.49,806.35,0.19,0.00,0.00,0.00,0.00,0.00,0.27,0.58,840.88,Bivalvia,1303,405,158,0,0,0,0,0,0,200,2065,Polychaeta
11,AK47=BERPAC-1988,27,blank,,64.740,-177.775,19880806,1988,27,1.28,24.66,0.34,0.00,0.00,0.00,0.00,0.00,0.13,0.00,26.43,Bivalvia,17.25,690.26,4.89,0.00,0.00,0.00,0.00,0.00,1.42,0.08,713.90,Bivalvia,1695,523,1440,0,0,0,0,0,3,18,3678,Polychaeta
12,AK47=BERPAC-1988,32,blank,,64.000,-175.000,19880806,1988,32,4.77,13.38,0.04,0.00,0.00,0.00,0.00,0.00,0.06,0.07,18.32,Bivalvia,67.47,392.21,0.51,0.00,0.00,0.00,0.00,0.00,0.67,2.20,463.05,Bivalvia,938,238,138,0,0,0,0,0,5,5,1323,Polychaeta
13,AK47=BERPAC-1988,35,blank,,63.000,-173.000,19880807,1988,35,1.45,5.95,1.00,0.00,0.34,0.00,0.00,0.00,0.92,0.02,9.68,Bivalvia,27.54,180.71,11.40,0.00,24.45,0.00,0.00,0.00,9.84,0.29,254.23,Bivalvia,278,1613,1095,0,8,0,0,0,15,213,3220,Bivalvia
14,AK47=BERPAC-1988,36,blank,,63.428,-172.167,19880807,1988,36,2.22,3.93,0.57,0.00,0.03,0.00,0.83,0.00,0.03,0.00,7.63,Bivalvia,28.41,121.42,7.73,0.00,2.43,0.00,13.57,0.00,0.34,0.08,173.99,Bivalvia,635,800,2640,3,10,0,23,0,3,5,4118,Crustacea
15,AK47=BERPAC-1988,45,blank,,67.733,-172.833,19880809,1988,45,3.20,14.25,0.46,0.00,0.00,0.00,1.66,0.00,1.02,0.02,20.62,Bivalvia,41.10,387.81,6.81,0.03,0.00,0.00,27.21,0.00,11.02,0.58,474.57,Bivalvia,915,713,305,3,3,0,48,0,8,3,1995,Polychaeta
16,AK47=BERPAC-1988,47,blank,,68.100,-170.883,19880809,1988,47,2.80,1.59,4.64,0.00,0.00,0.00,1.68,0.00,0.00,0.25,10.95,Crustacea,37.47,49.78,52.09,0.00,0.00,0.00,27.54,0.00,0.00,8.55,175.43,Crustacea,590,2098,4118,0,3,0,38,0,0,173,7018,Crustacea
17,AK47=BERPAC-1988,49,blank,,68.467,-169.133,19880810,1988,49,2.88,3.73,0.37,0.00,0.02,0.00,0.84,0.00,0.10,1.12,9.07,Bivalvia,49.25,96.89,5.07,0.00,1.53,0.00,13.72,0.00,1.04,48.34,215.83,Bivalvia,360,573,518,0,35,0,5,0,0,40,1530,Bivalvia
18,AK47=BERPAC-1988,52,blank,,68.060,-167.183,19880810,1988,52,7.41,0.09,0.02,1.42,0.03,0.00,0.00,0.00,0.08,0.04,9.08,Polychaeta,102.20,4.36,0.27,31.60,1.80,0.00,0.00,0.00,0.86,4.06,145.16,Polychaeta,110,33,5,10,8,0,0,0,3,0,168,Polychaeta
19,AK47=BERPAC-1988,53,blank,,67.420,-165.431,19880811,1988,53,1.67,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,Polychaeta,23.94,0.02,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.01,Polychaeta,450,20,480,0,0,0,0,0,0,0,950,Crustacea
20,AK47=BERPAC-1988,55,blank,,67.735,-168.440,19880811,1988,55,7.52,45.61,3.70,0.00,0.01,0.00,2.26,0.00,0.38,0.41,59.89,Bivalvia,101.08,1299.06,50.79,0.00,1.00,0.00,36.99,0.00,4.08,13.65,1506.65,Bivalvia,2028,1495,4965,0,68,0,60,0,3,130,8748,Crustacea
21,AK47=BERPAC-1988,57,blank,,67.710,-171.345,19880812,1988,57,1.93,33.77,4.21,0.00,0.00,0.00,0.58,0.00,0.00,0.05,40.53,Bivalvia,32.88,968.69,54.52,0.00,0.00,0.00,9.52,0.00,0.00,1.50,1067.11,Bivalvia,533,523,2850,0,0,0,28,0,0,40,3973,Crustacea
22,AK47=BERPAC-1988,59,blank,,67.153,-172.000,19880812,1988,59,4.86,18.88,4.69,2.22,0.00,0.00,0.62,0.44,0.19,0.08,31.98,Bivalvia,67.21,583.30,65.05,49.38,0.00,0.00,10.11,31.21,2.05,1.50,809.82,Bivalvia,1003,865,3715,15,0,0,23,10,3,25,5658,Crustacea
23,AK47=BERPAC-1988,61,blank,,67.333,-169.750,19880812,1988,61,3.16,14.00,4.20,0.00,0.10,0.00,0.54,0.00,0.49,0.21,22.71,Bivalvia,44.85,426.31,56.88,0.00,7.42,0.00,8.83,0.00,5.29,5.06,554.64,Bivalvia,885,433,2808,0,33,0,20,0,3,13,4193,Crustacea
24,AK47=BERPAC-1988,64,blank,,67.297,-166.710,19880813,1988,64,2.06,0.21,0.39,0.00,0.28,0.00,0.00,0.00,0.00,0.01,2.94,Polychaeta,28.11,5.51,5.41,0.00,19.68,0.00,0.00,0.00,0.00,0.18,58.88,Polychaeta,270,243,258,0,10,0,0,0,0,13,793,Polychaeta
25,AK47=BERPAC-1988,67,blank,,66.933,-166.833,19880814,1988,67,2.66,0.05,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.04,Polychaeta,39.85,2.48,4.52,0.00,0.10,0.00,0.00,0.00,0.03,0.04,47.02,Polychaeta,823,167,590,0,13,0,0,0,0,30,1623,Polychaeta
26,AK47=BERPAC-1988,69,blank,,66.908,-168.911,19880814,1988,69,2.15,43.29,0.05,0.00,0.00,0.00,0.96,0.00,0.00,0.05,46.51,Bivalvia,29.88,1221.41,0.73,0.00,0.00,0.00,15.81,0.00,0.00,1.68,1269.51,Bivalvia,430,933,348,0,0,0,165,0,0,15,1890,Bivalvia
27,AK47=BERPAC-1988,7,blank,,60.474,-177.870,19880801,1988,7,4.78,0.06,0.18,0.65,0.16,0.00,0.00,0.00,0.10,0.03,5.95,Polychaeta,65.12,3.60,2.46,14.35,11.12,0.00,0.08,0.00,1.12,1.03,98.89,Polychaeta,615,98,605,78,738,0,8,0,3,53,2195,Ophiuroidea
28,AK47=BERPAC-1988,72,blank,,66.550,-170.167,19880815,1988,72,2.55,1.65,11.23,0.01,0.00,0.05,1.78,3.76,0.19,2.46,23.67,Crustacea,36.11,73.47,155.33,0.13,0.00,5.45,29.15,268.51,2.04,117.90,688.09,Ascidiacea,583,2058,9405,15,0,68,50,153,3,103,12435,Crustacea
29,AK47=BERPAC-1988,74,blank,,66.550,-168.600,19880815,1988,74,0.77,0.52,0.54,0.00,0.00,0.00,0.37,0.00,0.02,0.32,2.54,Polychaeta,10.98,32.52,7.44,0.00,0.13,0.49,6.04,0.03,0.19,10.55,68.38,Bivalvia,778,955,3083,0,5,5,5,13,0,83,4925,Crustacea
30,AK47=BERPAC-1988,76,blank,,65.933,-169.583,19880815,1988,76,0.80,0.94,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,Bivalvia,11.66,62.85,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.71,Bivalvia,0,30,70,0,0,0,0,0,0,0,100,Crustacea
31,AK47=BERPAC-1988,83,blank,,65.671,-168.498,19880819,1988,83,2.27,0.02,0.04,1.39,0.11,1.08,7.46,0.00,0.18,0.09,12.63,Anthozoa,32.07,0.51,0.51,30.79,7.90,98.39,162.01,0.00,1.95,3.79,337.91,Anthozoa,628,25,225,33,178,60,413,0,0,15,1575,Polychaeta
32,AK47=BERPAC-1988,86,blank,,65.938,-169.382,19880819,1988,86,3.71,0.02,0.91,0.05,0.02,0.01,1.87,0.00,0.06,0.16,6.81,Polychaeta,51.47,0.74,12.57,1.03,1.30,0.63,30.68,0.00,0.68,11.98,111.08,Polychaeta,830,160,1045,40,55,135,105,0,0,560,2930,Crustacea
33,AK47=BERPAC-1988,89,blank,,65.233,-169.333,19880820,1988,89,5.51,4.16,13.32,0.00,0.00,0.00,0.00,0.00,0.14,0.04,23.19,Crustacea,77.31,125.77,195.21,0.06,0.00,0.00,0.00,0.00,1.53,0.96,400.82,Crustacea,1270,210,10805,5,0,0,0,0,33,25,12348,Crustacea
34,AK47=BERPAC-1988,9,blank,,61.335,-176.103,19880802,1988,9,1.52,0.01,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00,1.59,Polychaeta,21.34,0.35,0.32,0.02,2.21,0.01,0.00,0.00,0.00,0.07,24.32,Polychaeta,975,45,125,3,1570,5,0,0,0,50,2773,Ophiuroidea
35,AK47=BERPAC-1988,92,blank,,64.673,-167.693,19880820,1988,92,0.72,0.06,0.23,0.00,0.00,9.87,0.02,0.00,0.00,0.20,11.10,Echinoidea,10.59,2.83,3.16,0.00,0.01,1233.19,0.38,0.00,0.01,8.75,1258.92,Echinoidea,393,83,645,0,5,195,5,0,0,75,1400,Crustacea
36,AK47=BERPAC-1988,94,blank,,64.850,-169.200,19880821,1988,94,0.60,0.05,0.15,0.00,0.00,0.01,0.00,0.00,0.13,0.03,0.98,Polychaeta,8.81,2.66,2.15,0.00,0.00,1.05,0.00,0.00,1.39,1.50,17.55,Polychaeta,333,68,483,0,5,0,0,0,3,53,943,Crustacea
37,AK47=BERPAC-1988,96,blank,,65.083,-170.733,19880821,1988,96,2.22,4.54,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.01,6.96,Bivalvia,29.63,133.56,2.64,0.00,0.02,0.00,0.00,0.00,0.02,0.15,166.01,Bivalvia,620,178,278,0,3,0,0,0,3,5,1085,Polychaeta
38,BLU0803,1,BD001,,71.255,-163.198,20080921,2008,1,1.49,3.17,0.50,0.00,1.26,0.00,0.31,0.37,0.25,0.24,7.59,Bivalvia,21.46,110.77,6.76,0.01,90.05,0.00,5.02,26.11,2.64,10.65,273.47,Bivalvia,340,223,1273,3,233,0,3,3,13,60,2153,Crustacea
39,BLU0803,2,BD002,,71.251,-163.212,20080915,2008,2,2.49,4.65,0.32,2.49,0.75,0.00,0.19,0.00,0.43,0.04,11.35,Bivalvia,36.12,140.52,4.10,55.33,53.30,0.00,3.04,0.00,4.58,0.85,297.85,Bivalvia,417,303,1347,17,147,0,3,0,0,50,2283,Crustacea
40,BLU0803,3,BD003,,71.246,-163.198,20080921,2008,3,4.29,1.57,0.45,0.11,1.01,0.00,0.53,0.00,0.01,0.09,8.08,Polychaeta,59.66,53.78,5.98,2.52,72.16,0.00,8.76,0.01,0.15,3.83,206.85,Ophiuroidea,597,317,1653,13,173,0,10,3,20,53,2840,Crustacea
41,BLU0803,4,BD004,,71.251,-163.184,20080921,2008,4,3.42,1.37,0.60,1.45,1.48,0.00,0.00,0.16,0.00,0.11,8.60,Polychaeta,49.28,49.03,8.06,32.30,105.94,0.00,0.00,11.69,0.05,4.53,260.88,Ophiuroidea,530,233,1427,13,230,0,0,3,13,80,2530,Crustacea
42,BLU0803,5,BD005,,71.251,-163.198,20080915,2008,5,2.83,4.13,0.50,2.54,1.02,0.00,0.07,0.00,0.44,0.06,11.59,Bivalvia,45.02,119.74,6.75,56.54,72.70,0.00,1.64,0.00,4.74,2.09,309.22,Bivalvia,520,333,1853,37,200,0,3,0,20,20,2987,Crustacea
43,BLU0803,6,BF001,,71.120,-163.803,20080916,2008,6,6.17,4.82,0.17,0.01,1.32,0.00,0.05,0.00,0.03,0.10,12.67,Polychaeta,88.93,303.15,2.27,0.25,94.54,0.00,0.76,0.00,0.28,2.41,492.59,Bivalvia,627,260,863,13,223,0,7,0,10,63,2067,Crustacea
44,BLU0803,7,BF003,,71.113,-163.036,20080902,2008,7,7.46,2.33,0.17,3.01,1.27,0.00,0.00,0.09,0.05,0.14,14.51,Polychaeta,106.86,80.26,2.28,66.80,90.55,0.00,0.00,6.08,0.57,10.10,363.50,Polychaeta,593,230,350,37,140,0,0,7,13,113,1483,Polychaeta
45,BLU0803,8,BF005,,71.104,-162.267,20080920,2008,8,6.14,8.59,0.24,0.09,1.65,0.00,0.00,0.00,0.04,0.12,16.89,Bivalvia,82.06,398.13,3.27,2.09,117.89,0.00,0.00,0.00,0.48,4.11,608.02,Bivalvia,480,310,580,17,203,0,0,0,7,90,1687,Crustacea
46,BLU0803,9,BF007,,71.242,-163.411,20080916,2008,9,3.96,1.16,0.32,10.48,0.72,0.00,0.07,0.07,0.11,0.15,17.05,Sipuncula,52.18,48.29,4.19,232.98,51.52,0.00,1.18,5.34,1.13,4.91,401.72,Sipuncula,357,210,1373,30,110,0,13,3,17,20,2133,Crustacea
47,BLU0803,10,BF009,,71.234,-162.636,20080920,2008,10,0.83,1.54,0.46,4.68,0.81,0.00,0.48,0.00,0.42,0.01,9.23,Sipuncula,12.35,58.76,5.97,104.03,57.80,0.00,7.91,0.00,4.47,0.26,251.55,Sipuncula,303,513,1143,23,110,0,7,0,23,23,2147,Crustacea
48,BLU0803,11,BF011,,71.369,-163.788,20080913,2008,11,3.83,1.50,2.36,3.53,1.11,0.00,0.00,0.01,0.02,0.02,12.37,Polychaeta,53.84,37.10,33.82,78.42,79.04,0.00,0.00,0.42,0.22,0.59,283.46,Ophiuroidea,2070,390,1603,13,137,0,0,7,3,30,4253,Polychaeta
49,BLU0803,12,BF013,,71.363,-163.010,20080916,2008,12,8.29,5.11,0.72,4.28,0.80,0.00,0.00,0.00,0.23,0.02,19.45,Polychaeta,114.50,208.83,10.17,95.15,56.92,0.00,0.00,0.00,2.46,0.64,488.66,Bivalvia,7470,547,1967,53,207,0,0,0,73,30,10347,Polychaeta
50,BLU0803,13,BF015,,71.353,-162.232,20080919,2008,13,2.81,8.10,0.96,4.18,0.83,0.00,0.59,0.00,0.20,0.33,18.01,Bivalvia,38.68,237.37,12.20,92.91,59.15,0.00,9.74,0.00,2.20,7.39,459.63,Bivalvia,1003,1247,1753,10,147,0,7,0,17,53,4237,Crustacea
51,BLU0803,14,BF017,,71.490,-163.389,20080912,2008,14,5.26,4.83,0.22,0.36,1.37,0.00,0.00,0.00,0.32,4.00,16.37,Polychaeta,68.95,244.46,3.05,8.02,98.15,0.00,0.06,0.00,3.43,164.94,591.06,Bivalvia,1537,267,967,80,177,0,3,0,20,80,3130,Polychaeta
52,BLU0803,15,BF019,,71.482,-162.605,20080919,2008,15,3.24,2.67,0.50,0.13,0.23,0.00,0.19,0.00,0.15,3.67,10.79,Others,45.03,75.72,6.80,2.95,16.50,0.00,3.07,0.03,1.65,153.70,305.43,Others,2580,657,677,33,17,0,13,7,7,177,4167,Polychaeta
